TR Period,TR Start Date,TR End Date,Country/Region,Account Requests Received,Accounts Specified in Requests,Requests Challenged in Part or Rejected in Full,Requests where Only Non-Content Data Provided,Requests where Content Data Provided,Percentage of Requests where Data Provided
2013 H1,1/1/13,6/30/13,Australia,74,75,22,40,0,54%
2013 H1,1/1/13,6/30/13,Austria,2,2,1,1,0,50%
2013 H1,1/1/13,6/30/13,Bahamas,1,1,0,1,0,100%
2013 H1,1/1/13,6/30/13,Belarus,1,1,1,0,0,0%
2013 H1,1/1/13,6/30/13,Belgium,13,20,8,5,0,38%
2013 H1,1/1/13,6/30/13,Brazil,8,8,8,0,0,0%
2013 H1,1/1/13,6/30/13,Canada,6,6,0,4,0,67%
2013 H1,1/1/13,6/30/13,China,6,6,4,2,0,33%
2013 H1,1/1/13,6/30/13,Czech Republic,2,2,1,1,0,50%
2013 H1,1/1/13,6/30/13,Denmark,11,11,5,6,0,55%
2013 H1,1/1/13,6/30/13,France,71,72,49,17,0,24%
2013 H1,1/1/13,6/30/13,Germany,93,93,86,6,0,6%
2013 H1,1/1/13,6/30/13,Hong Kong,32,33,4,24,0,75%
2013 H1,1/1/13,6/30/13,Ireland,5,5,2,3,0,60%
2013 H1,1/1/13,6/30/13,Italy,60,76,34,22,0,37%
2013 H1,1/1/13,6/30/13,Japan,42,49,21,10,0,24%
2013 H1,1/1/13,6/30/13,Netherlands,4,4,3,1,0,25%
2013 H1,1/1/13,6/30/13,New Zealand,3,3,2,1,0,33%
2013 H1,1/1/13,6/30/13,Norway,6,6,4,2,0,33%
2013 H1,1/1/13,6/30/13,Poland,1,2,1,0,0,0%
2013 H1,1/1/13,6/30/13,Portugal,2,2,0,2,0,100%
2013 H1,1/1/13,6/30/13,Russia,1,1,0,1,0,100%
2013 H1,1/1/13,6/30/13,San Marino,2,2,2,0,0,0%
2013 H1,1/1/13,6/30/13,Singapore,23,23,9,13,0,57%
2013 H1,1/1/13,6/30/13,South Korea,4,4,2,2,0,50%
2013 H1,1/1/13,6/30/13,Spain,102,104,77,22,0,22%
2013 H1,1/1/13,6/30/13,Sweden,7,7,3,3,0,43%
2013 H1,1/1/13,6/30/13,Switzerland,6,6,4,1,0,17%
2013 H1,1/1/13,6/30/13,Taiwan,4,4,1,3,0,75%
2013 H1,1/1/13,6/30/13,United Kingdom,127,141,79,46,1,37%
2013 H1,1/1/13,6/30/13,United States of America,927,2330,102,601,71,72%
2013 H2,7/1/13,12/31/13,Argentina,2,3,2,0,0,0%
2013 H2,7/1/13,12/31/13,Australia,42,45,26,12,0,29%
2013 H2,7/1/13,12/31/13,Austria,6,6,5,1,0,17%
2013 H2,7/1/13,12/31/13,Belgium,5,5,2,1,0,20%
2013 H2,7/1/13,12/31/13,Brazil,4,6,4,2,0,50%
2013 H2,7/1/13,12/31/13,Canada,9,14,0,6,0,67%
2013 H2,7/1/13,12/31/13,China,2,2,2,0,0,0%
2013 H2,7/1/13,12/31/13,Czech Republic,5,5,4,1,0,20%
2013 H2,7/1/13,12/31/13,Denmark,7,7,2,4,0,57%
2013 H2,7/1/13,12/31/13,Finland,2,2,0,1,0,50%
2013 H2,7/1/13,12/31/13,France,119,130,79,34,0,29%
2013 H2,7/1/13,12/31/13,Germany,147,160,64,67,0,46%
2013 H2,7/1/13,12/31/13,Hong Kong,4,4,3,1,0,25%
2013 H2,7/1/13,12/31/13,Ireland,8,8,6,2,0,25%
2013 H2,7/1/13,12/31/13,Italy,40,43,28,11,0,28%
2013 H2,7/1/13,12/31/13,Japan,28,34,24,5,0,18%
2013 H2,7/1/13,12/31/13,Luxembourg,9,9,0,8,0,89%
2013 H2,7/1/13,12/31/13,Mexico,1,5,0,1,0,100%
2013 H2,7/1/13,12/31/13,Netherlands,6,7,5,0,0,0%
2013 H2,7/1/13,12/31/13,New Zealand,3,3,2,0,0,0%
2013 H2,7/1/13,12/31/13,Norway,8,10,6,2,0,25%
2013 H2,7/1/13,12/31/13,Poland,1,1,1,0,0,0%
2013 H2,7/1/13,12/31/13,Portugal,1,1,0,1,0,100%
2013 H2,7/1/13,12/31/13,Russia,3,3,2,1,0,33%
2013 H2,7/1/13,12/31/13,Singapore,6,6,5,1,0,17%
2013 H2,7/1/13,12/31/13,South Korea,2,2,2,0,0,0%
2013 H2,7/1/13,12/31/13,Spain,37,41,23,13,0,35%
2013 H2,7/1/13,12/31/13,Sweden,13,19,9,3,0,23%
2013 H2,7/1/13,12/31/13,Switzerland,13,15,7,2,0,15%
2013 H2,7/1/13,12/31/13,Taiwan,3,3,3,0,0,0%
2013 H2,7/1/13,12/31/13,Turkey,2,2,0,2,0,100%
2013 H2,7/1/13,12/31/13,United Kingdom,151,179,88,58,0,38%
2013 H2,7/1/13,12/31/13,United States of America,638,1380,68,355,101,71%
2014 H1,1/1/14,6/30/14,Australia,93,111,72,13,0,14%
2014 H1,1/1/14,6/30/14,Austria,6,6,0,5,0,83%
2014 H1,1/1/14,6/30/14,Belgium,4,4,1,2,0,50%
2014 H1,1/1/14,6/30/14,Brazil,2,3,1,0,0,0%
2014 H1,1/1/14,6/30/14,Bulgaria,1,1,0,0,0,0%
2014 H1,1/1/14,6/30/14,Canada,14,28,3,9,0,64%
2014 H1,1/1/14,6/30/14,China,7,10,5,1,0,14%
2014 H1,1/1/14,6/30/14,Denmark,4,4,3,0,0,0%
2014 H1,1/1/14,6/30/14,France,72,92,35,22,0,31%
2014 H1,1/1/14,6/30/14,Germany,122,254,41,52,0,43%
2014 H1,1/1/14,6/30/14,Hong Kong,14,51,9,3,0,21%
2014 H1,1/1/14,6/30/14,India,2,2,1,0,0,0%
2014 H1,1/1/14,6/30/14,Indonesia,1,2,0,0,0,0%
2014 H1,1/1/14,6/30/14,Ireland,7,12,1,1,0,14%
